town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
смт Зайцеве,3346.0,3314.0,3299.0,Донецька область,Бахмутський район,1420955200,Т,14,smt,
смт Олександрівське,1574.0,1553.0,1544.0,Донецька область,Бахмутський район,1420955600,Т,14,smt,
смт Оленівка,771.0,757.0,760.0,Донецька область,Бахмутський район,1420955800,Т,14,smt,
смт Ольховатка,3095.0,3062.0,3039.0,Донецька область,Бахмутський район,1420956000,Т,14,smt,
смт Прибережне,154.0,154.0,154.0,Донецька область,Бахмутський район,1420956200,Т,14,smt,
смт Луганське,2257.0,2231.0,2222.0,Донецька область,Бахмутський район,1420955400,Т,14,smt,
смт Миронівський,8027.0,7952.0,7845.0,Донецька область,Бахмутський район,1420955500,Т,14,smt,
смт Велика Новосілка,5992.0,5956.0,5870.0,Донецька область,Великоновосілківський район,1421255100,Т,14,smt,
м. Волноваха,23164.0,22988.0,22745.0,Донецька область,Волноваський район,1421510100,М,14,town,
смт Андріївка,2795.0,2737.0,2686.0,Донецька область,Волноваський район,1421555100,Т,14,smt,
смт Благодатне,1168.0,1159.0,1154.0,Донецька область,Волноваський район,1421555300,Т,14,smt,
смт Володимирівка,6606.0,6611.0,6568.0,Донецька область,Волноваський район,1421555600,Т,14,smt,
смт Донське,5044.0,5038.0,4970.0,Донецька область,Волноваський район,1421555900,Т,14,smt,
смт Графське,389.0,377.0,374.0,Донецька область,Волноваський район,1421556500,Т,14,smt,КОМСОМОЛЬСЬКИЙ
смт Мирне,1804.0,1785.0,1766.0,Донецька область,Волноваський район,1421556600,Т,14,smt,
смт Новотроїцьке,6946.0,6884.0,6897.0,Донецька область,Волноваський район,1421556800,Т,14,smt,
смт Оленівка,4635.0,4606.0,4580.0,Донецька область,Волноваський район,1421557100,Т,14,smt,
смт Ольгинка,3211.0,3203.0,3167.0,Донецька область,Волноваський район,1421557200,Т,14,smt,
смт Нікольське,8441.0,8393.0,8322.0,Донецька область,Нікольський район,1421755100,Т,14,smt,ВОЛОДАРСЬКЕ
смт Святогорівка,1895.0,1910.0,1903.0,Донецька область,Добропільський район,1422055500,Т,14,smt,
смт Гродівка,2574.0,2544.0,2533.0,Донецька область,Покровський район,1422755300,Т,14,smt,
смт Новоекономічне,3000.0,2991.0,2955.0,Донецька область,Покровський район,1422755600,Т,14,smt,
смт Удачне,1694.0,1699.0,1700.0,Донецька область,Покровський район,1422756300,Т,14,smt,
смт Дробишеве,2960.0,2933.0,2896.0,Донецька область,Лиманський район,1423055400,Т,14,smt,
смт Зарічне,2642.0,2632.0,2596.0,Донецька область,Лиманський район,1423055700,Т,14,smt,КІРОВСЬК
смт Новоселівка,1339.0,1330.0,1302.0,Донецька область,Лиманський район,1423056000,Т,14,smt,
смт Ямпіль,2079.0,2082.0,2070.0,Донецька область,Лиманський район,1423056400,Т,14,smt,
смт Ярова,1999.0,1986.0,1977.0,Донецька область,Лиманський район,1423056600,Т,14,smt,
м. Мар’їнка,9829.0,9775.0,9712.0,Донецька область,Мар’їнський район,1423310100,М,14,town,
м. Красногорівка,15912.0,15822.0,15683.0,Донецька область,Мар’їнський район,1423310400,М,14,town,
м. Курахове,19950.0,19840.0,19677.0,Донецька область,Мар’їнський район,1423310600,М,14,town,
смт Іллінка,452.0,444.0,441.0,Донецька область,Мар’їнський район,1423355600,Т,14,smt,
смт Олександрівка,4060.0,4014.0,3983.0,Донецька область,Мар’їнський район,1423355300,Т,14,smt,
смт Старомихайлівка,5414.0,5307.0,5222.0,Донецька область,Мар’їнський район,1423356200,Т,14,smt,
м. Новоазовськ,11740.0,11635.0,11482.0,Донецька область,Новоазовський район,1423610100,М,14,town,
смт Сєдове,2681.0,2661.0,2627.0,Донецька область,Новоазовський район,1423655400,Т,14,smt,
смт Олександрівка,3672.0,3610.0,3609.0,Донецька область,Олександрівський район,1420355100,Т,14,smt,
смт Мангуш,8275.0,8281.0,8234.0,Донецька область,Мангушський район,1423955100,Т,14,smt,
смт Ялта,5276.0,5256.0,5223.0,Донецька область,Мангушський район,1423955500,Т,14,smt,
м. Миколаївка,15559.0,15391.0,15245.0,Донецька область,Слов’янський район,1424210800,М,14,town,
смт Андріївка,858.0,833.0,838.0,Донецька область,Слов’янський район,1424255300,Т,14,smt,
смт Билбасівка,6235.0,6187.0,6147.0,Донецька область,Слов’янський район,1424255600,Т,14,smt,
смт Донецьке,639.0,636.0,632.0,Донецька область,Слов’янський район,1424255900,Т,14,smt,
смт Райгородок,3573.0,3523.0,3473.0,Донецька область,Слов’янський район,1424256200,Т,14,smt,
смт Черкаське,3470.0,3421.0,3404.0,Донецька область,Слов’янський район,1424256500,Т,14,smt,
м. Кальміуське,11672.0,11603.0,11587.0,Донецька область,Старобешівський район,1424510400,М,14,town,КОМСОМОЛЬСЬКЕ
смт Старобешеве,6293.0,6205.0,6197.0,Донецька область,Старобешівський район,1424555100,Т,14,smt,
смт Новий Світ,9197.0,9106.0,9095.0,Донецька область,Старобешівський район,1424555400,Т,14,smt,
смт Бойківське,4472.0,4461.0,4434.0,Донецька область,Бойківський район,1424855100,Т,14,smt,ТЕЛЬМАНОВЕ
смт Верхньоторецьке,2984.0,2954.0,2925.0,Донецька область,Ясинуватський район,1425555200,Т,14,smt,
смт Желанне,1449.0,1423.0,1400.0,Донецька область,Ясинуватський район,1425555300,Т,14,smt,
смт Керамік,373.0,363.0,358.0,Донецька область,Ясинуватський район,1425555600,Т,14,smt,
смт Очеретине,3668.0,3652.0,3598.0,Донецька область,Ясинуватський район,1425555900,Т,14,smt,
м. Житомир,270922.0,269942.0,267610.0,Житомирська область,Житомир,1810100000,В,18,city,
м. Бердичів,78312.0,77788.0,77197.0,Житомирська область,Бердичів,1810400000,М,18,town,
м. Коростень,65454.0,65255.0,64886.0,Житомирська область,Коростень,1810700000,М,18,town,
м. Малин,26886.0,26717.0,26588.0,Житомирська область,Малин,1810900000,М,18,town,
м. Новоград-Волинський,56049.0,56035.0,56155.0,Житомирська область,Новоград-Волинський,1811000000,М,18,town,
м. Андрушівка,8951.0,8929.0,8829.0,Житомирська область,Андрушівський район,1820310100,М,18,town,
смт Червоне,2848.0,2876.0,2865.0,Житомирська область,Андрушівський район,1820355600,Т,18,smt,
м. Баранівка,11948.0,11918.0,11895.0,Житомирська область,Баранівський район,1820610100,М,18,town,
смт Довбиш,4443.0,4423.0,4405.0,Житомирська область,Баранівський район,1820655400,Т,18,smt,
смт Кам’яний Брід,2603.0,2582.0,2575.0,Житомирська область,Баранівський район,1820655700,Т,18,smt,
смт Мар’янівка,1516.0,1516.0,1503.0,Житомирська область,Баранівський район,1820655900,Т,18,smt,
смт Першотравенськ,3595.0,3569.0,3538.0,Житомирська область,Баранівський район,1820656000,Т,18,smt,
смт Полянка,1725.0,1713.0,1699.0,Житомирська область,Баранівський район,1820656300,Т,18,smt,
смт Гришківці,4276.0,4251.0,4259.0,Житомирська область,Бердичівський район,1820855300,Т,18,smt,
смт Брусилів,4931.0,4941.0,4933.0,Житомирська область,Брусилівський район,1820955100,Т,18,smt,
смт Хорошів,7807.0,7795.0,7812.0,Житомирська область,Хорошівський район,1821155100,Т,18,smt,ВОЛОДАРСЬК-ВОЛИНСЬКИЙ
смт Іршанськ,6831.0,6889.0,6875.0,Житомирська область,Хорошівський район,1821155400,Т,18,smt,
смт Нова Борова,5606.0,5596.0,5616.0,Житомирська область,Хорошівський район,1821155700,Т,18,smt,
смт Ємільчине,6728.0,6714.0,6677.0,Житомирська область,Ємільчинський район,1821755100,Т,18,smt,
смт Яблунець,1158.0,1174.0,1149.0,Житомирська область,Ємільчинський район,1821756000,Т,18,smt,
смт Гуйва,1419.0,1384.0,1428.0,Житомирська область,Житомирський район,1822055300,Т,18,smt,
смт Новогуйвинське,5309.0,5312.0,5298.0,Житомирська область,Житомирський район,1822055600,Т,18,smt,
смт Озерне,5913.0,5961.0,5937.0,Житомирська область,Житомирський район,1822055900,Т,18,smt,
м. Коростишів,25845.0,25857.0,25890.0,Житомирська область,Коростишівський район,1822510100,М,18,town,
смт Лугини,4121.0,4116.0,4089.0,Житомирська область,Лугинський район,1822855100,Т,18,smt,
смт Миролюбів,623.0,628.0,618.0,Житомирська область,Лугинський район,1822856000,Т,18,smt,ЖОВТНЕВЕ
смт Любар,2153.0,2139.0,2121.0,Житомирська область,Любарський район,1823155100,Т,18,smt,
смт Гранітне,1510.0,1513.0,1496.0,Житомирська область,Малинський район,1823455200,Т,18,smt,
смт Чоповичі,1962.0,1939.0,1909.0,Житомирська область,Малинський район,1823455400,Т,18,smt,
смт Народичі,2604.0,2636.0,2675.0,Житомирська область,Народицький район,1823755100,Т,18,smt,
смт Городниця,5411.0,5354.0,5329.0,Житомирська область,Новоград-Волинський район,1824055600,Т,18,smt,
м. Овруч,16515.0,16505.0,16429.0,Житомирська область,Овруцький район,1824210100,М,18,town,
смт Першотравневе,2496.0,2475.0,2465.0,Житомирська область,Овруцький район,1824255400,Т,18,smt,
м. Олевськ,10222.0,10296.0,10339.0,Житомирська область,Олевський район,1824410100,М,18,town,
смт Бучмани,720.0,712.0,700.0,Житомирська область,Олевський район,1824455200,Т,18,smt,
смт Діброва,131.0,135.0,131.0,Житомирська область,Олевський район,1824455300,Т,18,smt,
смт Дружба,481.0,486.0,491.0,Житомирська область,Олевський район,1824455400,Т,18,smt,
смт Нові Білокоровичі,3142.0,3175.0,3167.0,Житомирська область,Олевський район,1824456200,Т,18,smt,
смт Новоозерянка,563.0,568.0,569.0,Житомирська область,Олевський район,1824456000,Т,18,smt,
смт Попільня,5987.0,5959.0,5915.0,Житомирська область,Попільнянський район,1824755100,Т,18,smt,
смт Корнин,2283.0,2256.0,2180.0,Житомирська область,Попільнянський район,1824755400,Т,18,smt,
м. Радомишль,14930.0,14905.0,14891.0,Житомирська область,Радомишльський район,1825010100,М,18,town,
смт Біла Криниця,910.0,902.0,886.0,Житомирська область,Радомишльський район,1825055300,Т,18,smt,
смт Городок,2449.0,2558.0,2631.0,Житомирська область,Радомишльський район,1825055500,Т,18,smt,
смт Романів,7676.0,7685.0,7661.0,Житомирська область,Романівський район,1821455100,Т,18,smt,
смт Биківка,1792.0,1779.0,1771.0,Житомирська область,Романівський район,1821455300,Т,18,smt,
смт Миропіль,4710.0,4693.0,4662.0,Житомирська область,Романівський район,1821455600,Т,18,smt,
смт Ружин,4605.0,4590.0,4597.0,Житомирська область,Ружинський район,1825255100,Т,18,smt,
смт Пулини,5434.0,5425.0,5425.0,Житомирська область,Пулинський район,1825455100,Т,18,smt,ЧЕРВОНОАРМІЙСЬК
смт Черняхів,9724.0,9682.0,9660.0,Житомирська область,Черняхівський район,1825655100,Т,18,smt,
смт Головине,1980.0,1940.0,1907.0,Житомирська область,Черняхівський район,1825655500,Т,18,smt,
м. Чуднів,5814.0,5815.0,5777.0,Житомирська область,Чуднівський район,1825810100,М,18,town,
смт Вакуленчук,2017.0,2011.0,1988.0,Житомирська область,Чуднівський район,1825855200,Т,18,smt,
смт Великі Коровинці,2315.0,2304.0,2294.0,Житомирська область,Чуднівський район,1825855300,Т,18,smt,
смт Іванопіль,3364.0,3338.0,3275.0,Житомирська область,Чуднівський район,1825855600,Т,18,smt,
м. Ужгород,115947.0,115520.0,115163.0,Закарпатська область,Ужгород,2110100000,М,21,town,
м. Берегове,24371.0,24273.0,24038.0,Закарпатська область,Берегове,2110200000,М,21,town,
м. Мукачеве,85487.0,85959.0,86339.0,Закарпатська область,Мукачеве,2110400000,М,21,town,
м. Хуст,28600.0,28520.0,28448.0,Закарпатська область,Хуст,2110800000,М,21,town,
м. Чоп,9018.0,9001.0,8937.0,Закарпатська область,Чоп,2111000000,М,21,town,
смт Батьово,3080.0,3073.0,3048.0,Закарпатська область,Берегівський район,2120455400,Т,21,smt,
смт Великий Березний,7292.0,7394.0,7443.0,Закарпатська область,Великоберезнянський район,2120855100,Т,21,smt,
м. Виноградів,25580.0,25570.0,25543.0,Закарпатська область,Виноградівський район,2121210100,М,21,town,
смт Вилок,3327.0,3327.0,3274.0,Закарпатська область,Виноградівський район,2121255300,Т,21,smt,
смт Королево,9510.0,9668.0,9818.0,Закарпатська область,Виноградівський район,2121255600,Т,21,smt,
смт Воловець,5171.0,5159.0,5175.0,Закарпатська область,Воловецький район,2121555100,Т,21,smt,
смт Жденієво,1096.0,1091.0,1089.0,Закарпатська область,Воловецький район,2121555300,Т,21,smt,
м. Іршава,9220.0,9249.0,9245.0,Закарпатська область,Іршавський район,2121910100,М,21,town,
смт Міжгір’я,9637.0,9631.0,9607.0,Закарпатська область,Міжгірський район,2122455100,Т,21,smt,
смт Кольчино,4339.0,4323.0,4309.0,Закарпатська область,Мукачівський район,2122755300,Т,21,smt,
смт Чинадійово,6951.0,6969.0,6940.0,Закарпатська область,Мукачівський район,2122755500,Т,21,smt,
м. Перечин,6720.0,6745.0,6737.0,Закарпатська область,Перечинський район,2123210100,М,21,town,
м. Рахів,15283.0,15372.0,15430.0,Закарпатська область,Рахівський район,2123610100,М,21,town,
смт Великий Бичків,9396.0,9369.0,9327.0,Закарпатська область,Рахівський район,2123655500,Т,21,smt,
смт Кобилецька Поляна,3445.0,3465.0,3481.0,Закарпатська область,Рахівський район,2123655800,Т,21,smt,
смт Ясіня,8482.0,8568.0,8596.0,Закарпатська область,Рахівський район,2123656200,Т,21,smt,
м. Свалява,17066.0,17055.0,17050.0,Закарпатська область,Свалявський район,2124010100,М,21,town,
м. Тячів,9127.0,9112.0,9043.0,Закарпатська область,Тячівський район,2124410100,М,21,town,
смт Буштино,8609.0,8640.0,8620.0,Закарпатська область,Тячівський район,2124455300,Т,21,smt,
смт Дубове,9807.0,9849.0,9902.0,Закарпатська область,Тячівський район,2124455600,Т,21,smt,
смт Солотвино,8925.0,8861.0,8791.0,Закарпатська область,Тячівський район,2124455900,Т,21,smt,
смт Тересва,7602.0,7636.0,7617.0,Закарпатська область,Тячівський район,2124456200,Т,21,smt,
смт Усть-Чорна,1525.0,1531.0,1543.0,Закарпатська область,Тячівський район,2124456500,Т,21,smt,
смт Середнє,3902.0,3988.0,4044.0,Закарпатська область,Ужгородський район,2124855500,Т,21,smt,
смт Вишково,8347.0,8356.0,8351.0,Закарпатська область,Хустський район,2125355300,Т,21,smt,
м. Запоріжжя,766268.0,761993.0,756927.0,Запорізька область,Запоріжжя,2310100000,В,23,city,
м. Бердянськ,115500.0,115054.0,114205.0,Запорізька область,Бердянськ,2310400000,М,23,town,
м. Енергодар,54536.0,54481.0,54330.0,Запорізька область,Енергодар,2312500000,М,23,town,
м. Мелітополь,156889.0,156523.0,155899.0,Запорізька область,Мелітополь,2310700000,М,23,town,
м. Токмак,32772.0,32484.0,32171.0,Запорізька область,Токмак,2311000000,М,23,town,
смт Андріївка,2936.0,2903.0,2860.0,Запорізька область,Бердянський район,2320655200,Т,23,smt,
м. Василівка,13875.0,13777.0,13683.0,Запорізька область,Василівський район,2320910100,М,23,town,
м. Дніпрорудне,19361.0,19248.0,19051.0,Запорізька область,Василівський район,2320910400,М,23,town,
смт Степногірськ,4520.0,4512.0,4476.0,Запорізька область,Василівський район,2320955700,Т,23,smt,
смт Веселе,10059.0,10025.0,10063.0,Запорізька область,Веселівський район,2321255100,Т,23,smt,
м. Вільнянськ,15787.0,15705.0,15558.0,Запорізька область,Вільнянський район,2321510100,М,23,town,
смт Кам’яне,1223.0,1231.0,1223.0,Запорізька область,Вільнянський район,2321555300,Т,23,smt,
м. Гуляйполе,14180.0,14084.0,13994.0,Запорізька область,Гуляйпільський район,2321810100,М,23,town,
смт Залізничне,1134.0,1119.0,1115.0,Запорізька область,Гуляйпільський район,2321855300,Т,23,smt,
смт Балабине,6171.0,6213.0,6180.0,Запорізька область,Запорізький район,2322155300,Т,23,smt,
смт Кушугум,8254.0,8240.0,8181.0,Запорізька область,Запорізький район,2322155600,Т,23,smt,
смт Малокатеринівка,3444.0,3447.0,3413.0,Запорізька область,Запорізький район,2322155900,Т,23,smt,
м. Кам’янка-Дніпровська,13383.0,13277.0,13185.0,Запорізька область,Кам’янсько-Дніпровський район,2322410100,М,23,town,
смт Більмак,7283.0,7234.0,7152.0,Запорізька область,Більмацький район,2322755100,Т,23,smt,КУЙБИШЕВЕ
смт Комиш-Зоря,2275.0,2273.0,2272.0,Запорізька область,Більмацький район,2322755400,Т,23,smt,
смт Мирне,3086.0,3091.0,3066.0,Запорізька область,Мелітопольський район,2323055500,Т,23,smt,
смт Михайлівка,12475.0,12407.0,12376.0,Запорізька область,Михайлівський район,2323355100,Т,23,smt,
смт Пришиб,3283.0,3236.0,3207.0,Запорізька область,Михайлівський район,2323355400,Т,23,smt,
смт Новомиколаївка,5442.0,5426.0,5377.0,Запорізька область,Новомиколаївський район,2323655100,Т,23,smt,
смт Тернувате,1417.0,1389.0,1379.0,Запорізька область,Новомиколаївський район,2323655500,Т,23,smt,
м. Оріхів,15161.0,15067.0,14991.0,Запорізька область,Оріхівський район,2323910100,М,23,town,
смт Комишуваха,5376.0,5368.0,5350.0,Запорізька область,Оріхівський район,2323955400,Т,23,smt,
м. Пологи,19750.0,19659.0,19547.0,Запорізька область,Пологівський район,2324210100,М,23,town,
смт Приазовське,6814.0,6773.0,6750.0,Запорізька область,Приазовський район,2324555100,Т,23,smt,
смт Нововасилівка,2422.0,2381.0,2344.0,Запорізька область,Приазовський район,2324555400,Т,23,smt,
м. Приморськ,12194.0,12137.0,12085.0,Запорізька область,Приморський район,2324810100,М,23,town,
смт Розівка,3363.0,3315.0,3285.0,Запорізька область,Розівський район,2324955100,Т,23,smt,
м. Молочанськ,6891.0,6794.0,6711.0,Запорізька область,Токмацький район,2325210100,М,23,town,
смт Чернігівка,6129.0,6051.0,5987.0,Запорізька область,Чернігівський район,2325555100,Т,23,smt,
смт Якимівка,11923.0,11934.0,11894.0,Запорізька область,Якимівський район,2320355100,Т,23,smt,
смт Кирилівка,3460.0,3492.0,3486.0,Запорізька область,Якимівський район,2320355400,Т,23,smt,
м. Івано-Франківськ,227030.0,228575.0,230929.0,Івано-Франківська область,Івано-Франківськ,2610100000,М,26,town,
м. Болехів,10770.0,10790.0,10742.0,Івано-Франківська область,Болехів,2610200000,М,26,town,
м. Бурштин,15370.0,15361.0,15275.0,Івано-Франківська область,Бурштин,2610300000,М,26,town,
м. Калуш,67559.0,67631.0,67519.0,Івано-Франківська область,Калуш,2610400000,М,26,town,
м. Коломия,61350.0,61236.0,61210.0,Івано-Франківська область,Коломия,2610600000,М,26,town,
м. Яремче,8201.0,8237.0,8208.0,Івано-Франківська область,Яремче,2611000000,М,26,town,
смт Ворохта,4215.0,4248.0,4270.0,Івано-Франківська область,Яремче,2611040300,Т,26,smt,
смт Богородчани,7852.0,7847.0,7971.0,Івано-Франківська область,Богородчанський район,2620455100,Т,26,smt,
смт Солотвин,3938.0,3937.0,3916.0,Івано-Франківська область,Богородчанський район,2620455500,Т,26,smt,
смт Верховина,5765.0,5812.0,5857.0,Івано-Франківська область,Верховинський район,2620855100,Т,26,smt,
м. Галич,6264.0,6256.0,6247.0,Івано-Франківська область,Галицький район,2621210100,М,26,town,
смт Більшівці,2068.0,2052.0,2029.0,Івано-Франківська область,Галицький район,2621255300,Т,26,smt,
м. Городенка,9384.0,9369.0,9315.0,Івано-Франківська область,Городенківський район,2621610100,М,26,town,
смт Чернелиця,1700.0,1676.0,1648.0,Івано-Франківська область,Городенківський район,2621655700,Т,26,smt,
м. Долина,20654.0,20731.0,20775.0,Івано-Франківська область,Долинський район,2622010100,М,26,town,
смт Вигода,2262.0,2281.0,2263.0,Івано-Франківська область,Долинський район,2622055300,Т,26,smt,
смт Войнилів,2752.0,2749.0,2727.0,Івано-Франківська область,Калуський район,2622855300,Т,26,smt,
смт Гвіздець,1946.0,1936.0,1933.0,Івано-Франківська область,Коломийський район,2623255200,Т,26,smt,
смт Отинія,5560.0,5565.0,5517.0,Івано-Франківська область,Коломийський район,2623255400,Т,26,smt,
смт Печеніжин,5342.0,5352.0,5313.0,Івано-Франківська область,Коломийський район,2623255700,Т,26,smt,
м. Косів,8621.0,8682.0,8634.0,Івано-Франківська область,Косівський район,2623610100,М,26,town,
смт Кути,4059.0,4055.0,4085.0,Івано-Франківська область,Косівський район,2623655400,Т,26,smt,
смт Яблунів,2073.0,2077.0,2082.0,Івано-Франківська область,Косівський район,2623655800,Т,26,smt,
м. Надвірна,22255.0,22344.0,22281.0,Івано-Франківська область,Надвірнянський район,2624010100,М,26,town,
смт Битків,4388.0,4399.0,4422.0,Івано-Франківська область,Надвірнянський район,2624055300,Т,26,smt,
смт Делятин,8365.0,8412.0,8430.0,Івано-Франківська область,Надвірнянський район,2624055900,Т,26,smt,
смт Ланчин,7933.0,7953.0,7943.0,Івано-Франківська область,Надвірнянський район,2624056200,Т,26,smt,
м. Рогатин,8000.0,7991.0,7983.0,Івано-Франківська область,Рогатинський район,2624410100,М,26,town,
смт Букачівці,1341.0,1328.0,1296.0,Івано-Франківська область,Рогатинський район,2624455300,Т,26,smt,
смт Рожнятів,3878.0,3908.0,3947.0,Івано-Франківська область,Рожнятівський район,2624855100,Т,26,smt,
смт Брошнів-Осада,5762.0,5679.0,5618.0,Івано-Франківська область,Рожнятівський район,2624855400,Т,26,smt,
смт Перегінське,12667.0,12728.0,12733.0,Івано-Франківська область,Рожнятівський район,2624855800,Т,26,smt,
м. Снятин,10102.0,10083.0,10100.0,Івано-Франківська область,Снятинський район,2625210100,М,26,town,
смт Заболотів,4055.0,4079.0,4056.0,Івано-Франківська область,Снятинський район,2625255300,Т,26,smt,
м. Тисмениця,9443.0,9394.0,9357.0,Івано-Франківська область,Тисменицький район,2625810100,М,26,town,
смт Єзупіль,2881.0,2863.0,2845.0,Івано-Франківська область,Тисменицький район,2625855300,Т,26,smt,
смт Лисець,2925.0,2934.0,2929.0,Івано-Франківська область,Тисменицький район,2625855600,Т,26,smt,
м. Тлумач,8885.0,8943.0,8975.0,Івано-Франківська область,Тлумацький район,2625610100,М,26,town,
смт Обертин,3158.0,3148.0,3129.0,Івано-Франківська область,Тлумацький район,2625655400,Т,26,smt,
м. Біла Церква,211205.0,211129.0,210174.0,Київська область,Біла Церква,3210300000,М,32,town,
м. Березань,16570.0,16606.0,16550.0,Київська область,Березань,3210400000,М,32,town,
м. Бориспіль,60160.0,60844.0,60885.0,Київська область,Бориспіль,3210500000,М,32,town,
м. Бровари,98874.0,99623.0,100702.0,Київська область,Бровари,3210600000,М,32,town,
м. Буча,29805.0,31073.0,31826.0,Київська область,Буча,3210800000,М,32,town,
м. Васильків,36888.0,37252.0,37396.0,Київська область,Васильків,3210700000,М,32,town,
м. Ірпінь,44023.0,45468.0,47102.0,Київська область,Ірпінь,3210900000,М,32,town,
смт Ворзель,5836.0,5926.0,6028.0,Київська область,Ірпінь,3210945600,Т,32,smt,
смт Гостомель,14467.0,14547.0,14779.0,Київська область,Ірпінь,3210945900,Т,32,smt,
смт Коцюбинське,15368.0,15488.0,15539.0,Київська область,Ірпінь,3210946200,Т,32,smt,
м. Обухів,33180.0,33305.0,33322.0,Київська область,Обухів,3211600000,М,32,town,
м. Переяслав-Хмельницький,27864.0,27751.0,27569.0,Київська область,Переяслав-Хмельницький,3211000000,М,32,town,
м. Прип’ять,,,,Київська область,Прип’ять,3211100000,М,32,town,
м. Ржищів,7545.0,7510.0,7514.0,Київська область,Ржищів,3211300000,М,32,town,
м. Славутич,24952.0,24996.0,25006.0,Київська область,Славутич,3211500000,М,32,town,
м. Фастів,48098.0,47869.0,47442.0,Київська область,Фастів,3211200000,М,32,town,
смт Баришівка,11009.0,10996.0,11020.0,Київська область,Баришівський район,3220255100,Т,32,smt,
м. Узин,12150.0,12089.0,12099.0,Київська область,Білоцерківський район,3220410500,М,32,town,
смт Терезине,1649.0,1675.0,1664.0,Київська область,Білоцерківський район,3220455500,Т,32,smt,
м. Богуслав,16786.0,16698.0,16657.0,Київська область,Богуславський район,3220610100,М,32,town,
смт Бородянка,13167.0,13235.0,13203.0,Київська область,Бородянський район,3221055100,Т,32,smt,
смт Бабинці,2746.0,2749.0,2757.0,Київська область,Бородянський район,3221055300,Т,32,smt,
смт Клавдієво-Тарасове,5069.0,5098.0,5069.0,Київська область,Бородянський район,3221055500,Т,32,smt,
смт Немішаєве,7340.0,7401.0,7543.0,Київська область,Бородянський район,3221055900,Т,32,smt,
смт Пісківка,7012.0,7002.0,6969.0,Київська область,Бородянський район,3221055600,Т,32,smt,
смт Велика Димерка,9619.0,9583.0,9651.0,Київська область,Броварський район,3221255200,Т,32,smt,
смт Калинівка,3802.0,3845.0,3852.0,Київська область,Броварський район,3221255600,Т,32,smt,
смт Калита,4745.0,4707.0,4681.0,Київська область,Броварський район,3221255500,Т,32,smt,
смт Глеваха,8679.0,8794.0,8928.0,Київська область,Васильківський район,3221455300,Т,32,smt,
смт Гребінки,5713.0,5730.0,5705.0,Київська область,Васильківський район,3221455500,Т,32,smt,
смт Дослідницьке,1915.0,1915.0,1900.0,Київська область,Васильківський район,3221455600,Т,32,smt,
смт Калинівка,5315.0,5307.0,5322.0,Київська область,Васильківський район,3221455800,Т,32,smt,
м. Вишгород,26866.0,27311.0,27825.0,Київська область,Вишгородський район,3221810100,М,32,town,
смт Димер,5846.0,5818.0,5762.0,Київська область,Вишгородський район,3221855300,Т,32,smt,
смт Володарка,6259.0,6226.0,6158.0,Київська область,Володарський район,3221655100,Т,32,smt,
смт Згурівка,5278.0,5259.0,5217.0,Київська область,Згурівський район,3221955100,Т,32,smt,
м. Чорнобиль,,,,Київська область,Іванківський район,3222010500,М,32,town,
смт Іванків,10596.0,10585.0,10567.0,Київська область,Іванківський район,3222055100,Т,32,smt,
м. Кагарлик,13730.0,13734.0,13726.0,Київська область,Кагарлицький район,3222210100,М,32,town,
м. Боярка,35558.0,35586.0,35524.0,Київська область,Києво-Святошинський район,3222410300,М,32,town,
м. Вишневе,38011.0,38463.0,39094.0,Київська область,Києво-Святошинський район,3222410600,М,32,town,
смт Чабани,4193.0,4274.0,4321.0,Київська область,Києво-Святошинський район,3222457400,Т,32,smt,
смт Макарів,10145.0,10102.0,10099.0,Київська область,Макарівський район,3222755100,Т,32,smt,
смт Кодра,1444.0,1433.0,1421.0,Київська область,Макарівський район,3222755400,Т,32,smt,
м. Миронівка,11851.0,11811.0,11696.0,Київська область,Миронівський район,3222910100,М,32,town,
м. Українка,15775.0,15926.0,16042.0,Київська область,Обухівський район,3223110500,М,32,town,
смт Козин,3333.0,3374.0,3386.0,Київська область,Обухівський район,3223155400,Т,32,smt,
смт Красятичі,647.0,647.0,652.0,Київська область,Поліський район,3223556100,Т,32,smt,
смт Рокитне,11371.0,11305.0,11253.0,Київська область,Рокитнянський район,3223755100,Т,32,smt,
м. Сквира,16616.0,16461.0,16294.0,Київська область,Сквирський район,3224010100,М,32,town,
смт Ставище,6851.0,6748.0,6601.0,Київська область,Ставищенський район,3224255100,Т,32,smt,
м. Тараща,11275.0,11068.0,10937.0,Київська область,Таращанський район,3224410100,М,32,town,
м. Тетіїв,13270.0,13220.0,13196.0,Київська область,Тетіївський район,3224610100,М,32,town,
смт Борова,7317.0,7336.0,7311.0,Київська область,Фастівський район,3224955300,Т,32,smt,
смт Кожанка,2098.0,2069.0,2024.0,Київська область,Фастівський район,3224955600,Т,32,smt,
м. Яготин,20340.0,20232.0,20051.0,Київська область,Яготинський район,3225510100,М,32,town,
м. Кропивницький,233333.0,232314.0,231089.0,Кіровоградська область,Кропивницький,3510100000,В,35,city,КІРОВОГРАД
смт Нове,8652.0,8628.0,8610.0,Кіровоградська область,Кропивницький,3510166900,Т,35,smt,
м. Знам’янка,23743.0,23461.0,23201.0,Кіровоградська область,Знам’янка,3510600000,М,35,town,
